aX,aY,aZ,gX,gY,gZ
-0.559,0.377,1.157,-11.719,-3.418,83.801
-0.592,0.048,1.111,-20.874,-7.080,98.022
-0.629,-0.305,1.014,-32.410,-9.521,103.333
-0.654,-0.682,0.901,-39.307,-9.949,105.042
-0.700,-1.058,0.809,-37.292,-6.775,104.126
-0.652,-1.397,0.770,-25.024,-1.038,99.670
-0.510,-1.527,0.775,-6.958,5.188,92.712
-0.420,-1.410,0.851,21.240,14.465,79.651
-0.258,-1.164,1.014,53.284,26.611,62.134
-0.117,-0.862,1.176,65.430,34.973,49.133
0.053,-0.702,1.295,66.895,36.499,42.480
0.182,-0.700,1.362,55.115,31.799,37.598
0.294,-0.764,1.367,41.260,24.353,32.288
0.398,-0.829,1.334,43.152,16.541,26.367
0.488,-0.857,1.271,55.298,8.789,16.602
0.553,-0.840,1.196,66.101,2.808,3.906
0.601,-0.757,1.112,66.956,-1.892,-10.437
0.633,-0.649,1.010,50.781,-7.019,-27.161
0.686,-0.617,0.909,23.315,-12.390,-39.917
0.744,-0.560,0.787,-2.380,-16.602,-50.110
0.774,-0.400,0.711,-10.071,-15.320,-59.448
0.763,-0.176,0.712,-0.488,-8.728,-66.162
0.726,0.035,0.763,6.531,-3.479,-69.214
0.685,0.177,0.800,6.836,-1.526,-65.857
0.646,0.260,0.824,3.662,-2.075,-58.716
0.605,0.304,0.834,-0.916,-3.052,-50.110
0.550,0.291,0.864,-3.906,-2.380,-41.260
0.485,0.217,0.913,-7.324,-1.404,-33.020
0.465,0.132,0.939,-15.808,-1.831,-27.100
0.401,0.065,0.963,-20.447,-2.686,-22.827
0.340,-0.009,1.018,-14.465,-1.038,-19.104
0.297,-0.063,1.054,-6.287,0.000,-19.287
0.252,-0.092,1.062,-1.831,2.930,-24.475
0.205,-0.095,1.061,0.916,5.127,-28.625
0.168,-0.082,1.054,-0.183,3.845,-28.259
0.130,-0.084,1.042,-5.066,2.197,-27.466
0.109,-0.103,1.017,-8.911,0.854,-27.954
0.078,-0.127,0.982,-10.193,-1.343,-28.564
0.068,-0.147,0.930,-6.897,-3.479,-28.442
0.046,-0.141,0.884,-2.441,-4.211,-27.710
0.034,-0.124,0.849,1.587,-2.869,-27.466
0.019,-0.082,0.834,4.089,-1.465,-25.940
0.002,-0.054,0.829,5.066,-0.244,-22.400
0.001,-0.038,0.814,4.395,0.610,-18.311
0.013,-0.050,0.803,1.404,1.221,-15.137
0.029,-0.071,0.807,-4.333,1.892,-14.404
0.042,-0.090,0.817,-10.010,3.113,-16.296
0.050,-0.094,0.829,-13.367,4.639,-19.653
0.058,-0.096,0.843,-13.916,6.531,-22.095
0.058,-0.113,0.864,-13.245,8.057,-23.437
0.071,-0.093,0.864,-13.123,8.911,-24.048
0.074,-0.080,0.881,-10.498,9.949,-22.949
0.072,-0.068,0.908,-6.348,10.742,-21.423
0.073,-0.043,0.919,-6.775,9.888,-20.813
0.077,-0.033,0.909,-8.606,8.606,-20.813
0.083,-0.024,0.890,-9.277,7.507,-20.691
0.081,-0.000,0.887,-11.292,7.019,-21.484
0.079,0.034,0.891,-13.855,6.958,-23.621
0.074,0.045,0.896,-15.564,6.897,-25.574
0.070,0.028,0.902,-18.433,6.653,-25.940
0.061,0.025,0.921,-18.921,7.568,-24.536
0.061,0.045,0.940,-16.968,9.094,-23.682
0.057,0.079,0.959,-16.479,10.986,-23.560
0.057,0.105,0.984,-14.343,12.634,-22.522
0.057,0.102,1.016,-10.193,12.695,-19.714
0.057,0.082,1.046,-9.460,11.292,-16.602
0.066,0.069,1.060,-10.010,9.094,-12.878
0.059,0.044,1.065,-10.742,6.775,-10.803
0.039,0.032,1.066,-10.437,5.310,-9.460
0.018,0.038,1.068,-9.521,3.967,-7.568
0.006,0.052,1.068,-6.775,3.357,-6.409
-0.013,0.069,1.072,-3.662,2.808,-5.249
-0.047,0.073,1.076,-0.977,2.197,-4.211
-0.056,0.053,1.058,2.258,1.343,-2.563
-0.057,0.047,1.033,2.686,0.305,-0.610
-0.070,0.045,1.024,2.319,0.366,0.916
-0.090,0.043,1.026,1.343,1.038,0.793
-0.103,0.048,1.028,-0.732,1.160,1.343
-0.106,0.059,1.022,-1.038,0.610,3.540
-0.124,0.079,1.029,-1.099,0.305,5.981
-0.140,0.101,1.038,-0.977,0.061,7.568
-0.147,0.128,1.046,-2.258,-0.427,8.850
-0.148,0.147,1.044,-3.662,-1.465,11.353
-0.145,0.148,1.032,-3.479,-2.075,14.587
-0.132,0.133,1.015,-3.845,-2.075,17.639
-0.117,0.112,1.002,-4.150,-1.648,20.996
-0.103,0.095,1.000,-3.601,-0.366,25.513
-0.094,0.063,1.012,-2.136,0.793,29.663
-0.088,0.026,1.049,2.869,2.441,34.241
-0.084,-0.017,1.081,7.568,2.930,38.574
-0.082,-0.062,1.099,9.827,1.953,41.626
-0.092,-0.099,1.116,9.949,0.671,44.006
-0.090,-0.134,1.126,9.521,-0.793,46.326
-0.082,-0.178,1.133,7.629,-2.258,48.584
-0.078,-0.245,1.136,4.089,-3.540,49.500
-0.077,-0.324,1.137,0.854,-4.700,48.584
-0.071,-0.388,1.133,0.488,-5.859,46.692
-0.066,-0.420,1.117,1.770,-6.836,43.274
-0.051,-0.427,1.092,2.380,-8.057,39.001
-0.036,-0.437,1.058,1.709,-8.789,35.034
-0.024,-0.435,1.025,-0.305,-8.911,31.494
-0.014,-0.432,1.011,-1.892,-8.179,28.931
-0.004,-0.432,1.015,-2.747,-7.202,26.367
0.003,-0.430,1.021,-3.357,-6.104,22.583
0.016,-0.409,1.003,-3.662,-5.249,18.555
0.025,-0.370,0.989,-2.625,-4.028,13.916
0.032,-0.313,0.978,0.000,-2.075,10.132
0.036,-0.260,0.982,3.113,-0.488,7.812
0.038,-0.231,0.988,3.601,1.221,6.531
0.041,-0.202,0.980,-0.122,1.770,5.554
0.040,-0.172,0.971,-3.479,2.136,4.211
0.042,-0.159,0.968,-3.784,3.174,3.235
0.042,-0.143,0.972,-4.395,4.150,2.502
0.033,-0.125,0.987,-6.775,4.028,1.526
0.040,-0.122,0.998,-6.348,4.456,1.709
0.043,-0.121,1.004,-3.967,5.127,2.869
0.049,-0.108,1.009,-4.150,5.371,3.662
-0.490,1.266,1.142,5.066,19.409,27.283
-0.541,1.131,1.208,-8.362,15.076,56.213
-0.540,0.891,1.276,-14.648,10.986,83.862
-0.503,0.589,1.321,-17.151,5.310,107.056
-0.458,0.222,1.317,-15.259,-0.854,123.352
-0.431,-0.172,1.261,-12.695,-5.676,131.897
-0.400,-0.505,1.152,-13.062,-7.874,133.118
-0.361,-0.763,1.082,-11.475,-6.287,129.944
-0.324,-0.933,1.088,-5.249,-1.099,124.573
-0.316,-1.025,1.170,3.906,5.310,118.713
-0.297,-1.108,1.233,11.169,9.583,111.694
-0.245,-1.201,1.235,12.451,10.742,103.943
-0.168,-1.263,1.197,14.343,10.437,94.299
-0.094,-1.229,1.162,24.353,11.230,81.970
-0.062,-1.157,1.116,40.527,12.756,67.993
0.059,-1.098,1.046,55.481,12.512,55.176
0.138,-1.032,0.974,58.044,10.193,44.922
0.197,-1.000,0.889,52.307,10.010,32.715
0.254,-0.926,0.808,44.189,12.329,19.287
0.288,-0.821,0.734,34.851,12.817,8.850
0.321,-0.722,0.716,18.860,14.465,0.061
0.359,-0.705,0.741,-0.366,15.076,-2.747
0.415,-0.734,0.804,-17.456,14.771,-1.770
0.481,-0.734,0.848,-32.776,12.146,-3.967
0.519,-0.665,0.880,-44.373,8.118,-14.465
0.557,-0.547,0.881,-41.931,5.005,-28.259
0.582,-0.436,0.865,-22.827,4.211,-38.635
0.575,-0.320,0.879,-5.493,3.235,-46.509
0.587,-0.201,0.883,6.165,1.709,-50.171
0.593,-0.078,0.883,12.695,-0.305,-48.767
0.592,0.043,0.887,13.184,-1.953,-44.312
0.589,0.118,0.904,10.010,-2.991,-37.415
0.579,0.119,0.936,2.136,-4.578,-27.771
0.598,0.033,0.934,-9.888,-5.127,-18.738
0.630,-0.123,0.936,-16.968,-4.822,-12.756
0.590,-0.198,0.968,-17.639,-2.625,-14.832
0.551,-0.147,1.004,-19.958,0.366,-26.550
0.504,-0.073,1.043,-14.465,5.188,-35.950
0.456,-0.060,1.068,-1.831,5.737,-40.955
0.412,-0.079,1.053,1.648,6.104,-43.091
0.396,-0.084,1.022,-2.625,6.409,-41.443
0.376,-0.090,0.989,-5.981,4.456,-38.513
0.353,-0.091,0.956,-9.460,4.211,-41.016
0.323,-0.077,0.928,-13.855,5.920,-47.607
0.293,-0.067,0.917,-17.883,6.409,-50.781
0.273,-0.061,0.907,-18.860,5.493,-48.767
0.258,-0.056,0.893,-15.564,4.822,-45.898
0.240,-0.037,0.887,-12.024,4.211,-44.678
0.213,-0.002,0.868,-12.146,3.357,-44.617
0.210,0.026,0.843,-12.573,2.625,-43.213
0.223,0.026,0.836,-13.000,2.502,-40.283
0.228,-0.002,0.842,-14.526,2.747,-38.025
0.236,-0.006,0.840,-16.541,2.991,-38.208
0.254,0.021,0.833,-15.625,3.357,-40.344
0.252,0.070,0.843,-11.963,4.333,-42.419
0.218,0.145,0.857,-9.644,5.127,-43.457
0.193,0.199,0.869,-9.338,4.944,-43.579
0.153,0.240,0.888,-13.489,4.456,-41.504
0.146,0.239,0.901,-19.348,3.723,-38.208
0.119,0.241,0.904,-25.085,2.686,-35.400
0.102,0.237,0.911,-27.161,2.258,-32.898
0.101,0.236,0.910,-23.376,2.686,-30.029
0.106,0.230,0.920,-17.151,3.784,-27.405
0.080,0.214,0.960,-9.216,5.371,-26.184
0.066,0.224,0.996,-3.235,6.714,-25.635
0.061,0.247,1.020,0.183,7.080,-24.597
0.024,0.271,1.049,0.793,6.714,-24.048
0.007,0.284,1.062,2.075,6.226,-23.376
-0.024,0.282,1.053,-0.244,4.578,-21.973
-0.053,0.264,1.058,-2.686,3.662,-18.677
-0.078,0.222,1.075,-4.272,3.113,-13.855
-0.089,0.185,1.099,-6.531,2.380,-8.423
-0.094,0.152,1.116,-6.714,0.793,-3.174
-0.097,0.127,1.116,-5.310,-0.854,-1.160
-0.096,0.118,1.109,-3.845,-2.563,-0.610
-0.101,0.114,1.084,-0.427,-3.845,0.793
-0.114,0.107,1.060,3.662,-4.517,2.014
-0.128,0.109,1.048,3.784,-4.456,3.174
-0.129,0.095,1.041,-0.793,-4.150,5.676
-0.144,0.067,1.040,-5.737,-3.784,8.911
-0.158,0.029,1.050,-6.897,-2.808,11.780
-0.148,0.004,1.050,-7.629,-2.380,14.587
-0.126,-0.013,1.040,-8.728,-2.563,16.968
