aX,aY,aZ,gX,gY,gZ
0.146,-1.317,1.092,-20.752,-11.047,57.556
0.146,-1.349,1.069,-20.386,-10.498,43.701
0.129,-1.366,1.064,-19.409,-9.888,29.541
0.113,-1.373,1.060,-14.526,-8.850,15.503
0.104,-1.357,1.040,-7.385,-8.606,1.465
0.095,-1.302,1.016,-2.441,-9.033,-13.000
0.085,-1.234,1.001,4.456,-9.460,-27.161
0.077,-1.123,0.995,15.076,-10.437,-39.673
0.076,-0.976,0.975,26.794,-11.658,-49.438
0.080,-0.804,0.946,34.912,-13.794,-55.664
0.075,-0.642,0.930,37.048,-16.174,-59.265
0.068,-0.505,0.916,30.396,-18.494,-60.608
0.062,-0.394,0.893,16.907,-21.301,-60.486
0.074,-0.338,0.872,2.319,-23.682,-59.082
0.112,-0.297,0.835,-8.484,-24.780,-58.044
0.140,-0.213,0.814,-14.709,-22.705,-61.523
0.140,-0.119,0.831,-17.822,-18.005,-72.388
0.142,0.023,0.855,-17.578,-12.207,-86.853
0.168,0.291,0.864,-4.333,-4.639,-98.328
0.173,0.662,0.873,24.536,5.615,-104.980
0.127,1.080,0.929,51.636,18.311,-108.093
0.037,1.419,1.020,60.547,29.114,-103.882
-0.039,1.569,1.139,48.584,35.034,-88.867
-0.080,1.475,1.225,21.851,33.020,-61.646
-0.090,1.198,1.238,-5.554,24.292,-30.151
-0.094,0.853,1.213,-25.085,14.221,-5.554
-0.105,0.538,1.176,-31.494,7.080,9.338
-0.130,0.268,1.161,-23.804,3.906,18.005
-0.144,0.077,1.151,-8.911,2.136,23.376
-0.156,-0.049,1.134,0.610,0.000,24.963
-0.162,-0.141,1.109,3.479,-2.563,22.827
-0.164,-0.206,1.078,2.075,-4.700,20.142
-0.156,-0.266,1.050,-0.793,-7.446,20.081
-0.145,-0.324,1.027,-3.113,-9.827,21.545
-0.128,-0.381,1.007,-5.371,-11.841,23.376
-0.115,-0.411,0.990,-8.667,-13.428,23.682
-0.103,-0.425,0.969,-10.742,-13.977,21.912
-0.092,-0.422,0.961,-9.888,-13.367,19.531
-0.080,-0.411,0.947,-8.545,-12.451,17.334
-0.066,-0.384,0.934,-6.348,-10.803,15.564
-0.063,-0.346,0.938,-1.648,-7.812,14.465
-0.059,-0.301,0.942,3.845,-3.845,13.123
-0.052,-0.252,0.945,9.460,0.488,12.207
-0.054,-0.206,0.949,13.977,4.456,11.230
-0.048,-0.163,0.950,14.343,7.202,8.850
-0.042,-0.133,0.944,11.597,8.057,6.653
-0.041,-0.111,0.947,7.812,7.874,5.066
-0.034,-0.107,0.949,2.991,7.263,3.540
-0.033,-0.100,0.956,-2.747,5.920,2.075
-0.034,-0.094,0.961,-7.935,4.578,1.221
-0.043,-0.088,0.970,-12.329,3.479,1.099
-0.044,-0.091,0.977,-13.794,2.075,2.747
-0.047,-0.097,0.979,-14.038,0.610,5.249
-0.049,-0.093,0.982,-12.878,-0.549,7.080
-0.054,-0.083,0.978,-9.094,-0.732,8.240
-0.053,-0.068,0.975,-4.944,-0.183,9.766
-0.055,-0.061,0.977,-2.197,0.793,11.963
-0.057,-0.058,0.979,-1.343,2.075,14.282
-0.059,-0.050,0.982,-1.770,3.235,16.235
-0.058,-0.052,0.980,-2.136,3.418,17.761
-0.053,-0.065,0.977,-3.174,3.174,18.616
-0.057,-0.084,0.979,-5.066,2.808,19.348
-0.065,-0.096,0.984,-6.592,2.441,19.897
-0.065,-0.114,0.995,-6.470,2.441,20.203
-0.069,-0.126,1.004,-5.737,2.502,19.653
-0.070,-0.129,1.010,-5.371,2.563,18.860
-0.069,-0.132,1.011,-4.639,2.502,17.822
-0.066,-0.143,1.013,-3.296,2.686,16.174
-0.063,-0.151,1.013,-1.526,2.991,13.794
-0.060,-0.160,1.015,1.770,3.967,10.315
-0.060,-0.169,1.016,4.578,4.761,6.165
-0.060,-0.166,1.016,5.615,5.371,1.709
-0.061,-0.155,1.015,6.042,5.859,-1.465
-0.063,-0.132,1.011,6.348,6.042,-3.479
-0.068,-0.114,1.002,5.554,6.104,-4.028
-0.071,-0.112,1.001,2.930,5.920,-3.235
-0.069,-0.116,0.997,-0.671,5.249,-1.770
-0.066,-0.120,0.983,-3.052,4.761,-0.549
-0.062,-0.123,0.974,-4.028,4.517,0.427
-0.064,-0.123,0.977,-3.357,4.883,1.526
-0.065,-0.141,0.989,-3.174,5.066,2.991
-0.064,-0.141,0.993,-4.211,5.127,3.967
-0.058,-0.161,0.989,-3.418,4.578,5.554
-0.055,-0.169,0.990,-2.625,3.967,6.592
-0.055,-0.165,0.996,-0.916,3.784,6.775
-0.061,-0.164,1.008,0.977,3.418,6.653
-0.062,-0.150,1.013,0.000,2.136,5.615
-0.065,-0.132,1.005,0.610,0.977,5.066
-0.060,-0.130,0.997,1.282,0.122,5.127
-0.058,-0.128,0.986,-0.793,-0.610,4.944
-0.056,-0.127,0.975,-1.465,-0.854,4.883
-0.053,-0.128,0.968,-1.038,-0.671,4.822
-0.052,-0.129,0.973,-1.099,0.122,4.944
-0.052,-0.130,0.976,-0.122,1.160,5.188
-0.053,-0.133,0.978,0.916,2.136,4.883
-0.057,-0.139,0.980,1.404,3.357,3.967
-0.052,-0.142,0.976,1.526,4.333,3.601
-0.052,-0.142,0.978,2.258,5.615,3.235
-0.055,-0.144,0.989,3.235,7.202,2.563
-0.056,-0.146,1.000,3.906,7.812,1.770
-0.054,-0.148,1.004,3.662,7.935,1.587
-0.053,-0.146,1.010,3.845,7.568,1.770
-0.049,-0.144,1.009,3.479,7.019,1.709
-0.044,-0.143,1.005,3.296,6.226,2.197
-0.040,-0.149,1.003,3.723,5.676,3.113
-0.039,-0.152,1.001,3.723,4.883,3.784
-0.041,-0.139,0.996,2.502,3.967,4.333
-0.047,-0.132,0.993,0.916,2.808,5.066
-0.044,-0.127,0.989,-0.061,2.319,6.226
-0.044,-0.126,0.990,-0.977,1.770,7.446
-0.043,-0.134,0.990,-2.319,1.648,7.751
-0.038,-0.142,0.990,-3.235,1.648,7.996
-0.040,-0.142,0.997,-2.991,1.709,8.179
-0.045,-0.136,1.000,-2.808,1.404,7.751
-0.047,-0.133,1.001,-3.113,1.343,7.751
-0.048,-0.135,1.007,-3.174,1.038,7.874
-0.046,-0.143,1.006,-3.174,0.610,8.118
-0.044,-0.142,1.003,-2.625,0.244,8.362
-0.044,-0.140,1.000,-1.953,0.244,8.057
-0.247,1.790,1.086,43.945,28.320,-20.935
-0.212,1.547,1.045,8.484,18.372,13.123
-0.100,1.009,1.009,-20.874,6.714,58.533
0.000,0.372,1.023,-44.189,-1.831,97.168
0.039,-0.094,1.049,-62.683,-6.653,111.023
0.077,-0.336,1.091,-61.951,-5.127,108.276
0.079,-0.474,1.179,-34.546,-0.916,104.919
0.077,-0.634,1.282,-2.625,1.587,108.215
0.092,-0.867,1.358,9.399,-2.747,116.638
0.136,-1.124,1.347,-2.563,-13.733,123.596
0.183,-1.398,1.270,-27.466,-26.550,125.366
0.210,-1.651,1.201,-49.072,-34.851,121.155
0.218,-1.876,1.156,-58.960,-37.109,111.511
0.222,-2.038,1.137,-55.664,-35.950,98.022
0.214,-2.117,1.121,-47.974,-32.288,80.017
0.203,-2.148,1.112,-40.344,-28.015,56.335
0.198,-2.117,1.098,-27.649,-24.597,30.457
0.195,-1.999,1.051,-8.118,-21.240,4.395
0.197,-1.792,0.996,18.188,-16.907,-18.860
0.195,-1.499,0.941,46.021,-12.573,-39.612
0.164,-1.144,0.895,67.871,-10.132,-58.289
0.133,-0.809,0.854,80.261,-9.033,-70.862
0.111,-0.507,0.802,80.322,-10.071,-74.890
0.108,-0.259,0.756,68.420,-12.939,-73.853
0.087,-0.033,0.742,47.668,-15.381,-72.021
0.054,0.200,0.735,22.705,-17.395,-72.876
0.047,0.388,0.744,0.183,-18.005,-72.327
0.028,0.554,0.744,-17.273,-18.005,-67.322
0.009,0.693,0.775,-25.452,-15.198,-59.387
-0.013,0.772,0.845,-24.597,-8.789,-49.622
-0.050,0.765,0.936,-19.348,0.366,-41.931
-0.079,0.700,1.027,-12.512,10.559,-36.133
-0.114,0.616,1.098,-7.812,18.005,-32.471
-0.139,0.533,1.135,-3.418,22.278,-31.128
-0.168,0.462,1.136,4.395,23.621,-29.297
-0.191,0.392,1.116,16.052,23.193,-25.879
-0.199,0.334,1.097,27.283,21.973,-18.982
-0.193,0.282,1.071,31.555,20.569,-10.986
-0.182,0.222,1.049,27.771,18.677,-4.639
-0.169,0.132,1.044,20.020,16.174,0.061
-0.156,0.057,1.043,9.521,12.390,3.601
-0.139,0.000,1.029,-3.601,7.263,5.859
-0.130,-0.055,1.013,-17.517,2.258,6.714
-0.113,-0.136,0.994,-24.841,-1.221,9.033
-0.090,-0.223,0.974,-24.597,-3.723,11.902
-0.082,-0.269,0.973,-20.874,-4.944,12.146
-0.084,-0.271,0.977,-15.381,-5.737,9.094
-0.094,-0.243,0.977,-7.996,-6.226,4.578
-0.098,-0.224,0.964,-2.319,-6.042,1.099
-0.098,-0.198,0.952,-0.183,-5.554,-0.427
-0.095,-0.185,0.945,1.953,-4.211,-0.793
-0.095,-0.178,0.945,3.601,-1.465,-1.526
-0.102,-0.166,0.954,3.845,1.770,-2.808
-0.108,-0.157,0.968,2.136,4.395,-4.883
-0.107,-0.144,0.970,-1.465,6.165,-6.775
-0.104,-0.143,0.967,-3.479,8.057,-7.019
-0.102,-0.136,0.964,-3.052,10.193,-6.348
-0.097,-0.127,0.956,-1.648,12.695,-6.287
-0.087,-0.118,0.954,-0.366,14.160,-5.737
-0.077,-0.124,0.965,0.610,14.343,-3.967
-0.064,-0.135,0.977,1.709,14.465,-1.953
-0.059,-0.134,0.990,0.183,13.489,-1.343
-0.057,-0.118,1.000,-3.052,12.512,-1.892
-0.060,-0.104,1.005,-5.310,11.719,-1.770
-0.056,-0.096,1.008,-6.836,10.437,-0.977
-0.056,-0.098,1.014,-8.362,8.850,0.793
-0.052,-0.116,1.018,-9.399,7.507,3.235
-0.046,-0.121,1.013,-10.803,6.653,4.822
-0.043,-0.121,1.004,-10.803,6.226,5.554
-0.047,-0.117,1.009,-8.179,6.470,5.798
-0.049,-0.103,1.015,-6.042,6.775,6.165
-0.057,-0.087,1.032,-4.089,6.653,7.141
-0.057,-0.080,1.043,-2.380,5.737,8.179
-0.056,-0.082,1.051,-1.953,4.211,9.705
-0.055,-0.093,1.051,-1.953,2.319,11.353
-0.056,-0.109,1.051,-2.563,0.427,12.268
-0.058,-0.117,1.044,-5.066,-1.221,12.085
-0.062,-0.118,1.032,-7.629,-2.563,10.864
-0.062,-0.136,1.024,-7.507,-2.563,9.338
-0.059,-0.149,1.018,-5.798,-1.953,8.789
-0.065,-0.148,1.013,-4.150,-1.221,8.057
-0.073,-0.145,1.011,-1.831,0.122,5.798
-0.073,-0.144,1.003,1.770,1.587,3.052
-0.072,-0.145,0.995,4.211,3.296,0.549
-0.072,-0.152,0.987,7.019,4.883,-1.343
-0.070,-0.155,0.984,10.620,6.775,-3.601
-0.074,-0.149,0.986,12.878,8.423,-6.531
-0.079,-0.141,0.995,13.489,9.705,-8.423
-0.081,-0.142,0.998,13.123,9.827,-9.216
-0.082,-0.135,0.997,10.925,8.667,-8.667
-0.081,-0.131,0.987,6.836,7.385,-7.507
-0.079,-0.136,0.981,4.333,6.775,-5.554
-0.075,-0.151,0.976,4.028,6.165,-3.479
-0.070,-0.162,0.972,3.723,5.798,-1.709
-0.065,-0.167,0.967,3.235,5.859,-1.160
-0.064,-0.165,0.968,3.235,5.981,-1.038
-0.067,-0.159,0.974,3.418,5.981,-1.099
-0.067,-0.159,0.980,3.235,5.737,-1.099
-0.066,-0.161,0.981,2.808,5.066,-0.916
-0.064,-0.162,0.982,2.686,4.150,-0.366
-0.063,-0.157,0.983,1.587,3.113,0.061
