aX,aY,aZ,gX,gY,gZ
-0.016,-0.163,1.029,1.831,0.183,2.747
-1.620,-0.420,0.657,-72.510,12.695,57.922
-1.804,-0.530,0.497,-52.429,27.405,58.472
-1.843,-0.816,0.462,-31.677,50.598,51.819
-1.599,-1.126,0.492,-8.911,80.688,33.447
-1.277,-1.068,0.429,29.236,106.873,-0.916
-0.730,-0.880,0.373,54.749,128.540,-41.016
-0.055,-0.587,0.542,62.866,151.978,-79.895
0.596,-0.210,0.830,62.866,161.987,-101.501
1.345,0.144,1.082,73.242,153.442,-96.497
2.096,0.365,1.313,98.999,132.507,-81.604
2.698,0.549,1.563,106.201,100.403,-64.636
3.066,0.725,1.824,85.571,62.683,-55.298
3.125,0.863,2.045,50.293,27.649,-50.964
2.904,0.923,2.101,19.409,-3.845,-38.208
2.533,0.788,1.903,0.549,-36.926,-11.108
2.028,0.546,1.629,-21.484,-69.580,23.804
1.493,0.264,1.438,-50.049,-89.050,53.467
0.993,0.019,1.251,-70.435,-101.807,73.669
0.596,-0.136,1.025,-71.228,-109.497,84.839
0.296,-0.186,0.842,-59.265,-111.023,83.374
0.111,-0.249,0.727,-44.739,-104.919,71.777
0.019,-0.315,0.669,-31.372,-98.633,57.800
-0.155,-0.342,0.653,-25.574,-97.717,44.556
-0.301,-0.386,0.619,-21.423,-100.586,35.339
-0.453,-0.434,0.581,-17.883,-100.403,30.273
-0.592,-0.471,0.563,-18.860,-93.140,26.245
-0.717,-0.486,0.590,-21.301,-76.599,21.118
-0.796,-0.500,0.643,-21.057,-54.626,14.160
-0.847,-0.496,0.716,-20.691,-32.227,7.324
-0.856,-0.464,0.797,-15.808,-9.583,2.319
-0.849,-0.432,0.866,-15.076,3.113,-2.869
-0.833,-0.440,0.921,-9.460,6.653,-5.615
-0.787,-0.400,0.915,-1.831,9.338,-7.874
-0.702,-0.310,0.895,10.681,12.451,-12.878
-0.615,-0.268,0.907,18.372,15.015,-20.264
-0.524,-0.250,0.943,20.203,15.625,-24.902
-0.459,-0.250,0.991,18.860,13.611,-25.330
-0.407,-0.267,1.015,18.616,10.620,-22.095
-0.365,-0.273,1.016,20.874,7.080,-17.395
-0.334,-0.284,1.007,23.437,4.150,-13.306
-0.298,-0.278,1.012,23.254,4.089,-9.827
-0.241,-0.238,1.035,20.142,6.104,-7.446
-0.166,-0.197,1.054,17.212,8.606,-5.615
-0.096,-0.168,1.078,13.977,11.230,-2.808
-0.043,-0.153,1.090,8.118,13.306,1.343
-0.017,-0.149,1.081,2.075,14.465,5.737
-0.014,-0.139,1.081,-3.540,14.465,7.935
-0.012,-0.129,1.069,-6.470,13.000,8.667
-0.010,-0.115,1.060,-6.287,10.193,8.850
-0.002,-0.110,1.050,-3.784,6.409,8.362
0.000,-0.105,1.045,-0.977,1.648,7.324
-0.004,-0.090,1.030,1.648,-3.174,6.287
-0.015,-0.081,1.016,2.686,-6.714,5.920
-0.033,-0.093,1.021,1.587,-8.606,6.531
-0.053,-0.103,1.034,-0.854,-9.460,7.812
-0.067,-0.108,1.035,-0.916,-9.827,9.399
-0.073,-0.100,1.028,0.610,-10.437,9.705
-0.080,-0.108,1.018,0.977,-9.705,9.094
-0.089,-0.123,1.011,0.000,-6.836,8.118
-0.091,-0.122,1.007,-1.709,-2.869,6.409
-0.094,-0.119,1.008,-2.319,2.258,3.357
-0.091,-0.114,1.017,-2.014,8.179,-0.427
-0.077,-0.125,1.024,-0.793,13.489,-3.601
-0.066,-0.134,1.037,-0.488,15.747,-5.615
-0.049,-0.140,1.048,0.305,15.259,-6.592
-0.038,-0.129,1.054,1.343,13.550,-6.958
-0.032,-0.135,1.059,1.709,10.620,-6.287
-0.033,-0.144,1.065,1.038,7.751,-4.517
-0.045,-0.141,1.067,0.244,4.700,-2.686
-0.059,-0.144,1.065,0.122,2.258,-1.404
-0.073,-0.146,1.051,1.038,0.061,-0.488
-0.081,-0.156,1.043,1.709,-1.404,0.488
-0.090,-0.153,1.041,1.770,-1.953,1.160
-0.090,-0.151,1.041,2.136,-2.136,1.709
-0.087,-0.156,1.033,3.113,-2.075,2.319
-0.084,-0.159,1.028,3.662,-1.892,2.625
-0.078,-0.155,1.026,3.357,-1.770,2.380
-0.074,-0.143,1.025,2.991,-1.831,1.831
-0.072,-0.130,1.018,3.052,-2.441,1.526
-0.071,-0.125,1.009,3.113,-3.296,1.648
-0.081,-0.126,1.002,2.625,-4.517,2.563
-0.098,-0.137,1.000,1.160,-5.249,3.906
-0.117,-0.143,0.996,-0.977,-5.493,5.127
-0.127,-0.139,0.995,-2.380,-5.310,6.531
-0.130,-0.140,0.998,-2.380,-4.211,7.202
-0.129,-0.147,1.002,-2.563,-3.052,7.751
-0.123,-0.156,1.009,-2.502,-2.197,8.118
-0.119,-0.153,1.009,-1.160,-1.404,7.507
-0.123,-0.147,1.003,1.099,-0.854,6.287
-0.124,-0.146,0.999,1.587,-0.061,4.944
-0.122,-0.147,0.998,1.099,1.709,4.272
-0.121,-0.148,1.003,-0.549,3.662,4.211
-0.116,-0.142,1.002,-1.953,5.127,4.517
-0.106,-0.142,1.010,-2.625,6.287,5.005
-0.094,-0.145,1.033,-3.662,6.897,5.127
-0.092,-0.138,1.046,-3.601,6.104,4.944
-0.101,-0.131,1.034,-1.892,4.333,5.127
-0.104,-0.123,1.020,-0.549,3.174,5.798
-0.107,-0.126,1.025,-1.038,2.869,6.531
-0.099,-0.129,1.028,-1.648,3.174,7.324
-0.096,-0.127,1.028,-2.075,3.662,8.423
-0.091,-0.136,1.025,-3.052,4.089,9.521
-0.088,-0.146,1.024,-4.578,4.272,10.376
-0.085,-0.142,1.025,-6.287,4.395,10.193
-0.075,-0.134,1.032,-6.592,4.456,9.033
-0.061,-0.131,1.045,-5.249,3.906,7.446
-0.058,-0.140,1.056,-3.235,2.502,6.714
-0.064,-0.163,1.055,-0.366,1.221,6.592
-0.063,-0.167,1.042,2.075,0.549,6.165
-0.063,-0.155,1.034,2.014,0.244,5.371
-0.060,-0.150,1.036,1.831,0.488,4.456
-0.059,-0.154,1.035,1.770,0.549,4.089
-0.064,-0.158,1.035,1.099,0.610,3.906
-0.074,-0.161,1.035,0.183,0.916,3.723
-0.081,-0.168,1.031,0.366,1.282,3.235
-0.088,-0.168,1.034,0.610,1.831,1.892
-0.083,-0.160,1.033,0.183,2.930,0.610
-0.083,-0.158,1.033,0.305,3.418,-0.183
-0.080,-0.156,1.029,0.610,3.967,-0.610
-1.648,-0.332,0.792,-88.196,6.958,67.810
-2.021,-0.406,0.515,-71.777,16.235,77.515
-2.226,-0.617,0.310,-44.678,31.372,84.167
-2.210,-0.951,0.190,-21.301,63.660,70.862
-1.877,-1.149,0.165,8.240,100.647,35.095
-1.398,-1.081,0.202,35.645,131.104,-17.578
-0.838,-0.932,0.255,52.490,160.889,-69.946
-0.099,-0.630,0.331,58.960,185.486,-104.919
0.730,-0.267,0.555,50.415,198.608,-119.995
1.516,0.084,0.863,24.048,194.031,-117.188
2.303,0.356,1.264,-13.306,165.039,-97.168
2.875,0.581,1.659,-34.668,132.202,-73.181
3.126,0.765,1.930,-40.710,96.985,-51.025
3.026,0.888,1.997,-51.636,55.908,-32.593
2.644,0.931,1.857,-48.645,14.954,-11.658
